2026-04-05 02:23:43.624 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 18.9284 ms
2026-04-05 02:23:43.633 +07:00 [INF] HTTP GET /js/site.js responded 200 in 15.7834 ms
2026-04-05 02:23:43.633 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 51.6920 ms
2026-04-05 02:23:43.634 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 72.6754 ms
2026-04-05 02:23:44.625 +07:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 200 in 6.0478 ms
2026-04-05 02:23:44.752 +07:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js responded 200 in 3.6758 ms
2026-04-05 02:25:33.634 +07:00 [INF] Seed dữ liệu ban đầu thành công
2026-04-05 02:25:33.927 +07:00 [INF] Ứng dụng Tour Du Lịch khởi chạy
2026-04-05 02:26:28.182 +07:00 [WRN] Failed to determine the https port for redirect.
2026-04-05 02:26:33.206 +07:00 [INF] HTTP GET /Tour/Book/76 responded 200 in 4503.8579 ms
2026-04-05 02:26:33.306 +07:00 [INF] HTTP GET /images/tours/tl1.jpg responded 404 in 29.0972 ms
2026-04-05 02:26:33.555 +07:00 [INF] HTTP GET /css/site.css responded 200 in 308.7128 ms
2026-04-05 02:26:33.743 +07:00 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.css responded 200 in 501.0383 ms
2026-04-05 02:26:33.979 +07:00 [INF] HTTP GET /lib/jquery/dist/jquery.min.js responded 200 in 738.7995 ms
2026-04-05 02:26:34.514 +07:00 [INF] HTTP GET /js/site.js responded 200 in 85.8061 ms
2026-04-05 02:26:34.516 +07:00 [INF] HTTP GET /lib/jquery-validation/dist/jquery.validate.min.js responded 200 in 170.1487 ms
2026-04-05 02:26:34.519 +07:00 [INF] HTTP GET /lib/bootstrap/dist/js/bootstrap.bundle.min.js responded 200 in 121.1470 ms
2026-04-05 02:26:34.609 +07:00 [INF] HTTP GET /lib/jquery-validation-unobtrusive/dist/jquery.validate.unobtrusive.min.js responded 200 in 10.4117 ms
2026-04-05 02:26:35.860 +07:00 [INF] HTTP GET /favicon.ico responded 200 in 4.0105 ms
